DATE,CORESTICKM159SFRBATL
1975-09-28,8.520421165
1975-10-05,8.109587525
1975-10-12,8.109587525
1975-10-19,8.109587525
1975-10-26,8.109587525
1975-11-02,8.092959791
1975-11-09,8.092959791
1975-11-16,8.092959791
1975-11-23,8.092959791
1975-11-30,8.092959791
1975-12-07,7.685189103
1975-12-14,7.685189103
1975-12-21,7.685189103
1975-12-28,7.685189103
1976-01-04,7.691042386
1976-01-11,7.691042386
1976-01-18,7.691042386
1976-01-25,7.691042386
1976-02-01,7.373666255
1976-02-08,7.373666255
1976-02-15,7.373666255
1976-02-22,7.373666255
1976-02-29,7.373666255
1976-03-07,7.334813689
1976-03-14,7.334813689
1976-03-21,7.334813689
1976-03-28,7.334813689
1976-04-04,6.847460223
1976-04-11,6.847460223
1976-04-18,6.847460223
1976-04-25,6.847460223
1976-05-02,6.965887097
1976-05-09,6.965887097
1976-05-16,6.965887097
1976-05-23,6.965887097
1976-05-30,6.965887097
1976-06-06,6.871017008
1976-06-13,6.871017008
1976-06-20,6.871017008
1976-06-27,6.871017008
1976-07-04,7.088593777
1976-07-11,7.088593777
1976-07-18,7.088593777
1976-07-25,7.088593777
1976-08-01,7.352526572
1976-08-08,7.352526572
1976-08-15,7.352526572
1976-08-22,7.352526572
1976-08-29,7.352526572
1976-09-05,7.092183496
1976-09-12,7.092183496
1976-09-19,7.092183496
1976-09-26,7.092183496
1976-10-03,6.878373933
1976-10-10,6.878373933
1976-10-17,6.878373933
1976-10-24,6.878373933
1976-10-31,6.878373933
1976-11-07,6.612229044
1976-11-14,6.612229044
1976-11-21,6.612229044
1976-11-28,6.612229044
1976-12-05,6.196677638
1976-12-12,6.196677638
1976-12-19,6.196677638
1976-12-26,6.196677638
1977-01-02,6.048908185
1977-01-09,6.048908185
1977-01-16,6.048908185
1977-01-23,6.048908185
1977-01-30,6.048908185
1977-02-06,6.05231412
1977-02-13,6.05231412
1977-02-20,6.05231412
1977-02-27,6.05231412
1977-03-06,6.102888398
1977-03-13,6.102888398
1977-03-20,6.102888398
1977-03-27,6.102888398
1977-04-03,6.580655715
1977-04-10,6.580655715
1977-04-17,6.580655715
1977-04-24,6.580655715
1977-05-01,6.741041444
1977-05-08,6.741041444
1977-05-15,6.741041444
1977-05-22,6.741041444
1977-05-29,6.741041444
1977-06-05,6.920217354
1977-06-12,6.920217354
1977-06-19,6.920217354
1977-06-26,6.920217354
1977-07-03,6.881150829
1977-07-10,6.881150829
1977-07-17,6.881150829
1977-07-24,6.881150829
1977-07-31,6.881150829
1977-08-07,6.832672177
1977-08-14,6.832672177
1977-08-21,6.832672177
1977-08-28,6.832672177
1977-09-04,6.873489359
1977-09-11,6.873489359
1977-09-18,6.873489359
1977-09-25,6.873489359
1977-10-02,6.950144555
1977-10-09,6.950144555
1977-10-16,6.950144555
1977-10-23,6.950144555
1977-10-30,6.950144555
1977-11-06,6.999499128
1977-11-13,6.999499128
1977-11-20,6.999499128
1977-11-27,6.999499128
1977-12-04,7.363992642
1977-12-11,7.363992642
1977-12-18,7.363992642
1977-12-25,7.363992642
1978-01-01,7.371987718
1978-01-08,7.371987718
1978-01-15,7.371987718
1978-01-22,7.371987718
1978-01-29,7.371987718
1978-02-05,7.341035476
1978-02-12,7.341035476
1978-02-19,7.341035476
1978-02-26,7.341035476
1978-03-05,7.433603181
1978-03-12,7.433603181
1978-03-19,7.433603181
1978-03-26,7.433603181
1978-04-02,7.413807475
1978-04-09,7.413807475
1978-04-16,7.413807475
1978-04-23,7.413807475
1978-04-30,7.413807475
1978-05-07,7.643491412
1978-05-14,7.643491412
1978-05-21,7.643491412
1978-05-28,7.643491412
1978-06-04,7.679164103
1978-06-11,7.679164103
1978-06-18,7.679164103
1978-06-25,7.679164103
1978-07-02,7.912838518
1978-07-09,7.912838518
1978-07-16,7.912838518
1978-07-23,7.912838518
1978-07-30,7.912838518
1978-08-06,8.176594615
1978-08-13,8.176594615
1978-08-20,8.176594615
1978-08-27,8.176594615
1978-09-03,8.576148162
1978-09-10,8.576148162
1978-09-17,8.576148162
1978-09-24,8.576148162
1978-10-01,9.03646557
1978-10-08,9.03646557
1978-10-15,9.03646557
1978-10-22,9.03646557
1978-10-29,9.03646557
1978-11-05,9.211524761
1978-11-12,9.211524761
1978-11-19,9.211524761
1978-11-26,9.211524761
1978-12-03,9.058012586
1978-12-10,9.058012586
1978-12-17,9.058012586
1978-12-24,9.058012586
1978-12-31,9.058012586
1979-01-07,9.070516336
1979-01-14,9.070516336
1979-01-21,9.070516336
1979-01-28,9.070516336
1979-02-04,9.571356337
1979-02-11,9.571356337
1979-02-18,9.571356337
1979-02-25,9.571356337
1979-03-04,9.675145162
1979-03-11,9.675145162
1979-03-18,9.675145162
1979-03-25,9.675145162
1979-04-01,9.918953512
1979-04-08,9.918953512
1979-04-15,9.918953512
1979-04-22,9.918953512
1979-04-29,9.918953512
1979-05-06,10.082376559
1979-05-13,10.082376559
1979-05-20,10.082376559
1979-05-27,10.082376559
1979-06-03,10.269173247
1979-06-10,10.269173247
1979-06-17,10.269173247
1979-06-24,10.269173247
1979-07-01,10.50434739
1979-07-08,10.50434739
1979-07-15,10.50434739
1979-07-22,10.50434739
1979-07-29,10.50434739
1979-08-05,10.93575743
1979-08-12,10.93575743
1979-08-19,10.93575743
1979-08-26,10.93575743
1979-09-02,10.98372295
1979-09-09,10.98372295
1979-09-16,10.98372295
1979-09-23,10.98372295
1979-09-30,10.98372295
1979-10-07,11.257284188
1979-10-14,11.257284188
1979-10-21,11.257284188
1979-10-28,11.257284188
1979-11-04,11.926588317
1979-11-11,11.926588317
1979-11-18,11.926588317
1979-11-25,11.926588317
1979-12-02,12.734186684
1979-12-09,12.734186684
1979-12-16,12.734186684
1979-12-23,12.734186684
1979-12-30,12.734186684
1980-01-06,13.469735746
1980-01-13,13.469735746
1980-01-20,13.469735746
1980-01-27,13.469735746
1980-02-03,13.599492679
1980-02-10,13.599492679
1980-02-17,13.599492679
1980-02-24,13.599492679
1980-03-02,14.331667424
1980-03-09,14.331667424
1980-03-16,14.331667424
1980-03-23,14.331667424
1980-03-30,14.331667424
1980-04-06,14.755204998
1980-04-13,14.755204998
1980-04-20,14.755204998
1980-04-27,14.755204998
1980-05-04,15.115272835
1980-05-11,15.115272835
1980-05-18,15.115272835
1980-05-25,15.115272835
1980-06-01,15.774166719
1980-06-08,15.774166719
1980-06-15,15.774166719
1980-06-22,15.774166719
1980-06-29,15.774166719
1980-07-06,14.133410238
1980-07-13,14.133410238
1980-07-20,14.133410238
1980-07-27,14.133410238
1980-08-03,13.268359535
1980-08-10,13.268359535
1980-08-17,13.268359535
1980-08-24,13.268359535
1980-08-31,13.268359535
1980-09-07,13.087752647
1980-09-14,13.087752647
1980-09-21,13.087752647
1980-09-28,13.087752647
1980-10-05,13.084188753
1980-10-12,13.084188753
1980-10-19,13.084188753
1980-10-26,13.084188753
1980-11-02,12.870601808
1980-11-09,12.870601808
1980-11-16,12.870601808
1980-11-23,12.870601808
1980-11-30,12.870601808
1980-12-07,12.685251999
1980-12-14,12.685251999
1980-12-21,12.685251999
1980-12-28,12.685251999
1981-01-04,12.018100571
1981-01-11,12.018100571
1981-01-18,12.018100571
1981-01-25,12.018100571
1981-02-01,11.229271193
1981-02-08,11.229271193
1981-02-15,11.229271193
1981-02-22,11.229271193
1981-03-01,10.319341471
1981-03-08,10.319341471
1981-03-15,10.319341471
1981-03-22,10.319341471
1981-03-29,10.319341471
1981-04-05,9.710596634
1981-04-12,9.710596634
1981-04-19,9.710596634
1981-04-26,9.710596634
1981-05-03,9.603160634
1981-05-10,9.603160634
1981-05-17,9.603160634
1981-05-24,9.603160634
1981-05-31,9.603160634
1981-06-07,9.212167638
1981-06-14,9.212167638
1981-06-21,9.212167638
1981-06-28,9.212167638
1981-07-05,11.238230349
1981-07-12,11.238230349
1981-07-19,11.238230349
1981-07-26,11.238230349
1981-08-02,11.81874206
1981-08-09,11.81874206
1981-08-16,11.81874206
1981-08-23,11.81874206
1981-08-30,11.81874206
1981-09-06,12.228963711
1981-09-13,12.228963711
1981-09-20,12.228963711
1981-09-27,12.228963711
1981-10-04,11.266251913
1981-10-11,11.266251913
1981-10-18,11.266251913
1981-10-25,11.266251913
1981-11-01,10.524035314
1981-11-08,10.524035314
1981-11-15,10.524035314
1981-11-22,10.524035314
1981-11-29,10.524035314
1981-12-06,9.855791699
1981-12-13,9.855791699
1981-12-20,9.855791699
1981-12-27,9.855791699
1982-01-03,9.469843405
1982-01-10,9.469843405
1982-01-17,9.469843405
1982-01-24,9.469843405
1982-01-31,9.469843405
1982-02-07,9.539828014
1982-02-14,9.539828014
1982-02-21,9.539828014
1982-02-28,9.539828014
1982-03-07,8.890430545
1982-03-14,8.890430545
1982-03-21,8.890430545
1982-03-28,8.890430545
1982-04-04,9.081124943
1982-04-11,9.081124943
1982-04-18,9.081124943
1982-04-25,9.081124943
1982-05-02,9.052945034
1982-05-09,9.052945034
1982-05-16,9.052945034
1982-05-23,9.052945034
1982-05-30,9.052945034
1982-06-06,8.878235542
1982-06-13,8.878235542
1982-06-20,8.878235542
1982-06-27,8.878235542
1982-07-04,7.889386151
1982-07-11,7.889386151
1982-07-18,7.889386151
1982-07-25,7.889386151
1982-08-01,7.329095724
